Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,waiting time,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
2025-03-15,16:41:00,UBR100622,Completed,CUST1183,UberXL,Houston,Seoul,4.7,7.0,0,,0,,0,,64.65,,2.7,4.3,Cash
2025-04-28,15:11:00,UBR100851,Completed,CUST1034,UberX,London,Dubai,3.2,13.0,0,,0,,0,,73.08,28.09,4.2,4.3,Debit Card
2025-05-08,09:34:00,UBR100593,Completed,CUST1223,UberX,Houston,Sydney,10.5,,0,,0,,0,,38.98,18.22,2.3,4.1,Wallet
2025-04-05,14:32:00,UBR100765,Completed,CUST1228,Uber Green,Phoenix,Madrid,15.2,20.3,0,,0,,0,,67.61,26.01,1.7,3.5,UPI
2025-04-17,20:14:00,UBR100655,Completed,CUST1223,UberXL,New York,London,7.5,12.1,0,,0,,0,,70.96,22.3,3.9,2.8,PayPal
2025-06-13,00:57:00,UBR100310,Completed,CUST1012,Uber Comfort,Phoenix,Seoul,12.5,14.9,0,,0,,0,,50.94,13.04,2.4,,Debit Card
2025-06-13,12:30:00,UBR100244,Completed,CUST1168,Uber Green,Tokyo,Sydney,13.9,16.4,0,,0,,0,,41.18,11.68,4.6,4.3,Debit Card
2025-02-21,14:23:00,UBR100208,Incomplete,CUST1069,UberXL,Vancouver,Rome,9.4,14.5,0,,0,,1,Route issue,67.26,16.84,3.3,,Debit Card
2025-01-18,01:52:00,UBR100328,Completed,CUST1232,UberX,Toronto,Berlin,4.1,16.7,0,,0,,0,,69.16,21.6,1.9,2.2,
2025-03-23,10:03:00,UBR100209,Completed,CUST1178,Uber Comfort,Madrid,Seoul,14.7,13.5,0,,0,,0,,118.4,30.46,5.0,1.2,Wallet
2025-01-15,21:26:00,UBR100890,Completed,CUST1249,UberX,Chicago,Phoenix,15.2,14.6,0,,0,,0,,17.84,4.91,,3.1,PayPal
2025-04-02,00:42:00,UBR100260,Cancelled by Customer,CUST1120,UberX,Sydney,Melbourne,5.1,18.7,1,Wrong pickup location,0,,0,,0.0,25.65,,,Cash
2025-06-12,09:20:00,UBR100527,Completed,CUST1045,Uber Green,Vancouver,Los Angeles,7.4,11.1,0,,0,,0,,73.65,27.66,3.1,4.2,Cash
2025-03-05,17:35:00,UBR100824,Completed,CUST1079,Uber Black,Houston,Sydney,,12.0,0,,0,,0,,68.81,27.88,4.3,3.7,UPI
2025-03-01,10:49:00,UBR100296,Completed,CUST1038,Uber Comfort,Birmingham,Rome,7.0,,0,,0,,0,,27.03,11.32,1.3,1.8,PayPal
2025-01-22,07:00:00,UBR100158,Completed,CUST1188,UberX,Sydney,Tokyo,9.6,9.5,0,,0,,0,,66.84,18.3,3.3,3.8,
2025-04-05,02:21:00,UBR100845,Cancelled by Driver,CUST1181,,Sydney,New York,8.1,19.7,0,,1,Vehicle issue,0,,0.0,12.96,1.9,,UPI
2025-04-21,01:45:00,UBR100989,Incomplete,CUST1001,UberXL,Dubai,Houston,18.0,20.2,0,,0,,1,Route issue,63.91,17.09,2.2,,PayPal
2025-04-12,03:38:00,UBR100928,Completed,CUST1112,Uber Green,Sydney,Phoenix,16.5,11.1,0,,0,,0,,18.65,8.68,1.2,2.2,UPI
2025-05-05,15:14:00,UBR100076,Completed,CUST1035,Uber Green,Manchester,Madrid,8.2,22.6,0,,0,,0,,16.85,8.23,4.3,2.4,Credit Card
2025-04-26,16:12:00,UBR100010,Cancelled by Driver,CUST1232,Uber Black,Madrid,Manchester,1.1,,0,,1,Vehicle issue,0,,0.0,8.9,2.7,,Wallet
2025-03-07,20:55:00,UBR100947,Completed,CUST1116,Uber Black,Singapore,Tokyo,15.5,8.6,0,,0,,0,,75.58,25.1,2.2,4.3,Cash
2025-01-11,07:59:00,UBR100687,Completed,CUST1133,Uber Black,Melbourne,Birmingham,7.9,23.6,0,,0,,0,,35.07,10.99,2.5,,PayPal
2025-03-21,22:59:00,UBR100344,Completed,CUST1183,UberX,Rome,London,6.2,21.4,0,,0,,0,,34.12,11.12,3.5,3.3,Wallet
2025-02-07,02:18:00,UBR100059,Completed,CUST1099,Uber Green,Seoul,Dubai,10.1,4.1,0,,0,,0,,85.97,25.1,2.3,1.5,Credit Card
2025-03-27,20:43:00,UBR100168,Completed,CUST1134,Uber Black,Rome,Houston,5.7,20.3,0,,0,,0,,21.24,10.76,4.9,2.5,Credit Card
2025-02-26,11:32:00,UBR100458,Cancelled by Customer,CUST1236,Uber Comfort,Chicago,Toronto,10.0,13.1,1,Found another ride,0,,0,,0.0,29.99,,,Cash
2025-04-02,13:01:00,UBR100174,Completed,CUST1154,Uber Green,Vancouver,Melbourne,8.7,24.7,0,,0,,0,,112.76,30.87,4.1,1.1,Cash
2025-05-14,02:45:00,UBR100660,Completed,CUST1025,Uber Black,Sydney,Vancouver,2.6,14.3,0,,0,,0,,36.11,15.93,3.3,,Debit Card
2025-04-08,15:16:00,UBR100995,Cancelled by Customer,CUST1029,UberXL,Toronto,New York,17.8,11.8,1,Wrong pickup location,0,,0,,0.0,3.95,,,Wallet
2025-04-14,18:39:00,UBR100247,Completed,CUST1166,Uber Black,New York,,14.7,5.7,0,,0,,0,,115.39,32.73,1.5,4.4,Cash
2025-05-08,22:59:00,UBR100589,Cancelled by Customer,CUST1147,UberX,Sydney,Madrid,8.7,22.0,1,Found another ride,0,,0,,0.0,14.16,,,PayPal
2025-02-15,14:24:00,UBR100626,Completed,CUST1204,Uber Comfort,New York,London,12.3,3.3,0,,0,,0,,86.07,30.63,4.5,2.8,Credit Card
2025-04-21,05:02:00,UBR100781,Cancelled by Customer,CUST1111,UberX,Dubai,Melbourne,8.5,18.8,1,Change of plans,0,,0,,0.0,12.61,,,
2025-03-05,08:24:00,UBR100732,Completed,CUST1051,Uber Comfort,Chicago,Sydney,2.8,5.7,0,,0,,0,,12.12,3.02,1.4,3.4,Wallet
2025-01-20,08:47:00,UBR100629,Completed,CUST1148,Uber Green,New York,Phoenix,1.4,5.5,0,,0,,0,,90.73,31.07,3.4,,UPI
2025-05-22,10:00:00,UBR100948,Completed,CUST1233,UberX,New York,Chicago,3.4,,0,,0,,0,,25.76,7.88,1.3,1.4,Wallet
2025-04-21,15:43:00,UBR100938,Completed,CUST1157,UberXL,Houston,Birmingham,5.8,17.1,0,,0,,0,,94.24,23.89,3.4,1.6,UPI
2025-04-13,14:58:00,UBR100603,Completed,CUST1246,Uber Comfort,London,Paris,3.2,19.9,0,,0,,0,,50.95,17.64,4.7,4.8,Credit Card
2025-03-11,17:30:00,UBR100390,Completed,CUST1014,UberXL,Dubai,Tokyo,11.7,9.0,0,,0,,0,,54.12,31.16,2.0,4.8,Cash
2025-05-10,20:33:00,UBR100070,Completed,CUST1218,UberXL,Paris,Chicago,16.6,15.9,0,,0,,0,,74.0,19.36,1.1,4.7,PayPal
2025-03-11,18:47:00,UBR100595,Cancelled by Driver,CUST1203,Uber Green,Berlin,Phoenix,18.0,24.9,0,,1,Customer unreachable,0,,0.0,23.31,1.8,,Credit Card
2025-03-21,22:13:00,UBR100107,Completed,CUST1085,Uber Comfort,Tokyo,Paris,12.9,15.3,0,,0,,0,,67.15,34.55,1.0,2.3,Credit Card
2025-01-02,10:38:00,UBR100428,Completed,CUST1228,UberXL,Rome,Los Angeles,15.5,10.6,0,,0,,0,,83.94,33.77,1.1,,Cash
2025-02-09,05:22:00,UBR100542,Cancelled by Customer,CUST1081,Uber Green,Sydney,,11.6,3.2,1,Driver taking too long,0,,0,,0.0,5.16,,,PayPal
2025-06-12,20:30:00,UBR100929,Completed,CUST1173,UberX,Los Angeles,Phoenix,7.5,12.7,0,,0,,0,,56.61,26.32,2.9,4.1,Debit Card
2025-05-27,21:25:00,UBR100858,Completed,CUST1152,UberX,Manchester,Toronto,3.7,20.3,0,,0,,0,,45.61,18.3,4.9,1.1,Credit Card
2025-01-06,18:16:00,UBR100109,Completed,CUST1102,UberX,Dubai,Birmingham,13.1,22.2,0,,0,,0,,43.44,25.08,3.9,4.2,PayPal
2025-01-14,19:42:00,UBR100086,Completed,CUST1151,Uber Black,Singapore,Manchester,10.5,13.6,0,,0,,0,,60.25,18.86,4.5,3.1,Credit Card
2025-05-11,23:21:00,UBR100314,Cancelled by Driver,CUST1148,UberX,Seoul,Rome,15.7,,0,,1,Vehicle issue,0,,0.0,16.07,1.7,,Wallet
2025-02-27,12:17:00,UBR100101,Completed,CUST1028,,Madrid,New York,,12.9,0,,0,,0,,61.98,17.72,1.7,,Wallet
2025-05-02,10:48:00,UBR100907,Completed,CUST1079,UberXL,Birmingham,Madrid,9.6,3.6,0,,0,,0,,15.35,3.07,4.7,4.4,Wallet
2025-03-27,06:54:00,UBR100538,Completed,CUST1234,UberXL,Phoenix,Tokyo,16.0,14.3,0,,0,,0,,76.98,27.71,4.1,3.2,Wallet
2025-02-27,21:22:00,UBR100136,Completed,CUST1085,UberXL,Birmingham,London,,17.6,0,,0,,0,,53.13,24.19,3.2,3.9,PayPal
2025-05-08,02:39:00,UBR100030,Completed,CUST1218,Uber Comfort,Toronto,Houston,10.8,11.5,0,,0,,0,,125.54,33.1,3.6,2.8,Debit Card
2025-05-12,08:12:00,UBR100912,Completed,CUST1242,UberXL,Phoenix,Chicago,2.4,11.5,0,,0,,0,,37.88,19.58,3.4,3.1,UPI
2025-04-08,12:22:00,UBR100208,Cancelled by Customer,CUST1060,UberXL,Seoul,Berlin,6.2,11.8,1,Change of plans,0,,0,,0.0,28.41,,,Cash
2025-04-25,17:18:00,UBR100054,Completed,,UberX,Madrid,Melbourne,13.5,7.0,0,,0,,0,,,30.51,3.3,4.4,PayPal
2025-02-05,11:24:00,UBR100023,Cancelled by Driver,CUST1019,UberX,Chicago,Tokyo,2.2,11.7,0,,1,Too far from pickup,0,,0.0,3.96,1.2,,Debit Card
2025-03-07,13:11:00,UBR100835,Completed,CUST1165,Uber Comfort,Seoul,Tokyo,10.6,18.7,0,,0,,0,,,20.49,1.4,4.0,Wallet
2025-01-12,00:22:00,UBR100620,Completed,CUST1053,Uber Green,Dubai,London,10.9,14.3,0,,0,,0,,37.48,11.39,3.0,2.3,Cash
2025-03-23,23:31:00,UBR100481,Cancelled by Customer,CUST1139,Uber Green,Sydney,Seoul,8.3,12.6,1,Wrong pickup location,0,,0,,0.0,8.76,,,Debit Card
2025-04-02,23:10:00,UBR100003,Completed,CUST1187,Uber Comfort,Vancouver,Tokyo,9.4,3.8,0,,0,,0,,7.53,1.74,4.6,2.0,UPI
2025-02-08,13:33:00,UBR100088,Completed,CUST1243,Uber Green,Los Angeles,Vancouver,14.0,11.8,0,,0,,0,,113.93,32.94,2.9,3.5,UPI
2025-05-31,20:44:00,UBR100430,Completed,CUST1084,Uber Green,London,New York,3.5,24.7,0,,0,,0,,94.76,24.72,,1.5,PayPal
2025-04-30,09:17:00,UBR100184,Cancelled by Driver,CUST1037,Uber Comfort,Tokyo,New York,7.5,5.8,0,,1,Personal emergency,0,,0.0,20.14,2.7,,PayPal
2025-03-14,17:15:00,UBR100544,Cancelled by Customer,CUST1034,Uber Comfort,Manchester,Madrid,14.1,23.1,1,Driver taking too long,0,,0,,0.0,34.44,,,Debit Card
2025-05-08,21:23:00,UBR100213,Completed,CUST1157,Uber Black,Chicago,Los Angeles,6.9,5.4,0,,0,,0,,50.47,14.69,4.2,4.8,Credit Card
2025-01-14,16:24:00,UBR100774,Completed,CUST1090,Uber Comfort,Vancouver,,11.8,8.5,0,,0,,0,,20.05,7.58,2.2,4.1,Debit Card
2025-04-02,11:38:00,UBR100371,Incomplete,CUST1032,Uber Black,Tokyo,Madrid,9.9,4.5,0,,0,,1,Route issue,43.76,12.5,1.7,,Wallet
2025-02-28,13:35:00,UBR100096,Cancelled by Driver,CUST1168,Uber Green,Toronto,New York,15.2,18.3,0,,1,Personal emergency,0,,0.0,30.54,3.7,,Debit Card
2025-03-27,17:09:00,UBR100549,Cancelled by Driver,CUST1243,Uber Green,Houston,London,10.5,11.5,0,,1,Vehicle issue,0,,0.0,12.14,2.7,,UPI
2025-01-26,19:04:00,UBR100510,Completed,CUST1141,UberXL,New York,London,15.9,10.8,0,,0,,0,,46.58,26.28,3.9,2.3,Wallet
2025-05-12,18:49:00,UBR100997,Completed,CUST1033,Uber Black,Manchester,Sydney,12.5,4.2,0,,0,,0,,14.22,4.96,1.5,3.0,Cash
2025-05-25,20:48:00,UBR100063,Completed,CUST1238,UberXL,Tokyo,London,,22.9,0,,0,,0,,49.34,16.03,3.5,,PayPal
2025-05-12,06:11:00,UBR100924,Completed,CUST1112,Uber Comfort,Seoul,Berlin,13.0,3.7,0,,0,,0,,54.85,31.46,4.4,2.9,Cash
2025-02-12,15:43:00,UBR100261,Completed,CUST1033,Uber Black,Sydney,Melbourne,8.8,19.1,0,,0,,0,,24.33,13.23,,3.7,Credit Card
2025-06-18,06:05:00,UBR100429,Completed,CUST1177,UberXL,Sydney,Phoenix,9.1,17.7,0,,0,,0,,28.26,7.69,2.6,2.2,UPI
2025-04-30,03:29:00,UBR100100,Completed,CUST1049,Uber Green,Dubai,Rome,,17.2,0,,0,,0,,51.93,20.88,3.4,2.5,Wallet
2025-03-03,05:14:00,UBR100541,Completed,CUST1176,Uber Comfort,Dubai,Berlin,13.3,7.8,0,,0,,0,,90.28,24.94,,4.2,Cash
2025-01-21,08:13:00,UBR100673,Cancelled by Driver,CUST1130,UberXL,,Birmingham,5.6,20.9,0,,1,Personal emergency,0,,0.0,13.15,3.1,,Cash
2025-01-08,10:15:00,UBR100280,Completed,CUST1058,UberX,Berlin,Toronto,5.1,7.7,0,,0,,0,,57.95,25.41,2.7,4.6,UPI
2025-04-02,03:09:00,UBR100039,Completed,CUST1248,Uber Comfort,Seoul,Birmingham,5.9,22.1,0,,0,,0,,78.42,23.14,1.9,4.9,UPI
2025-01-08,22:33:00,UBR100572,Incomplete,CUST1045,Uber Green,Melbourne,Rome,3.7,11.1,0,,0,,1,Trip interrupted,15.27,4.21,3.5,,Wallet
2025-01-13,14:57:00,UBR100657,Completed,CUST1183,Uber Green,Phoenix,Singapore,11.4,,0,,0,,0,,34.87,15.1,3.0,1.5,UPI
2025-03-02,02:02:00,UBR100602,Completed,CUST1092,Uber Comfort,Rome,Houston,4.9,23.3,0,,0,,0,,26.22,9.1,3.4,2.5,Cash
2025-01-24,01:11:00,UBR100697,Completed,CUST1008,Uber Green,Chicago,Toronto,2.1,21.2,0,,0,,0,,13.16,4.76,1.5,4.6,UPI
2025-03-17,11:15:00,UBR100467,Completed,CUST1245,Uber Green,Los Angeles,Chicago,2.1,24.4,0,,0,,0,,100.94,32.59,2.4,2.9,PayPal
2025-01-09,05:49:00,UBR100979,Completed,CUST1083,Uber Green,Los Angeles,Paris,17.1,13.2,0,,0,,0,,17.8,6.75,1.2,3.9,PayPal
2025-02-05,05:44:00,UBR100532,Incomplete,CUST1151,Uber Comfort,Melbourne,Birmingham,5.1,13.3,0,,0,,1,Trip interrupted,105.05,33.14,2.8,,UPI
2025-03-11,11:45:00,UBR100758,Cancelled by Driver,CUST1245,Uber Green,Manchester,Melbourne,16.8,,0,,1,Wrong pickup location,0,,0.0,26.11,4.4,,Cash
2025-05-30,13:52:00,UBR100290,Completed,CUST1063,Uber Comfort,Rome,Phoenix,8.0,7.5,0,,0,,0,,89.96,22.98,1.2,3.3,Cash
2025-06-04,01:34:00,UBR100066,Completed,CUST1114,Uber Black,Birmingham,Phoenix,10.6,18.8,0,,0,,0,,53.2,15.02,3.4,4.3,PayPal
2025-03-04,01:43:00,UBR100309,Completed,CUST1082,Uber Comfort,Chicago,Seoul,11.2,17.4,0,,0,,0,,12.24,2.22,1.8,2.2,PayPal
2025-02-15,06:02:00,UBR100067,Completed,CUST1139,UberXL,Berlin,Birmingham,11.0,14.1,0,,0,,0,,41.8,14.75,3.4,1.1,UPI
2025-05-31,10:49:00,UBR100754,Completed,CUST1050,Uber Black,Vancouver,London,15.8,13.7,0,,0,,0,,49.58,28.68,2.2,3.1,Cash
2025-02-19,06:29:00,UBR100218,Completed,CUST1068,,Dubai,Tokyo,13.6,10.0,0,,0,,0,,45.27,25.1,1.4,2.4,Debit Card
2025-01-07,07:57:00,UBR100868,Cancelled by Customer,CUST1157,Uber Black,Chicago,London,17.3,22.1,1,Change of plans,0,,0,,0.0,27.21,,,Cash
2025-04-07,03:49:00,UBR100916,Cancelled by Customer,CUST1226,Uber Black,Rome,Dubai,5.4,3.7,1,Driver taking too long,0,,0,,0.0,4.81,,,Debit Card
2025-05-18,18:00:00,UBR100556,Cancelled by Driver,CUST1049,UberXL,Madrid,London,2.5,22.0,0,,1,Personal emergency,0,,0.0,15.08,,,Credit Card
2025-03-25,09:05:00,UBR100714,Completed,CUST1075,UberX,Phoenix,Madrid,11.0,17.8,0,,0,,0,,24.58,5.81,4.2,3.6,UPI
2025-05-09,00:55:00,UBR100530,Completed,CUST1117,Uber Comfort,Houston,Birmingham,16.3,17.6,0,,0,,0,,11.85,4.39,1.4,3.7,PayPal
2025-03-23,03:28:00,UBR100796,Completed,CUST1188,Uber Black,London,Chicago,5.1,17.1,0,,0,,0,,57.42,19.61,2.1,1.9,UPI
2025-02-28,09:25:00,UBR100734,Completed,CUST1085,Uber Comfort,New York,London,10.1,18.5,0,,0,,0,,31.75,14.67,2.4,1.4,PayPal
2025-06-11,21:10:00,UBR100318,Completed,CUST1030,Uber Comfort,Birmingham,Berlin,1.5,14.5,0,,0,,0,,60.7,27.63,1.9,5.0,Cash
2025-04-21,14:28:00,UBR100587,Completed,CUST1118,Uber Comfort,Phoenix,Birmingham,12.5,8.5,0,,0,,0,,36.81,14.29,1.1,1.7,Credit Card
2025-06-18,09:42:00,UBR100405,Completed,CUST1002,UberXL,Chicago,Melbourne,11.6,20.8,0,,0,,0,,61.31,22.6,1.3,2.3,PayPal
2025-03-28,10:15:00,UBR100346,Completed,CUST1122,Uber Black,Paris,Melbourne,1.0,18.7,0,,0,,0,,46.54,11.96,2.4,2.0,PayPal
2025-05-24,15:16:00,UBR100869,Completed,CUST1091,UberX,Vancouver,London,10.4,7.0,0,,0,,0,,33.39,12.9,1.5,3.4,Debit Card
2025-04-30,10:52:00,UBR100381,Completed,CUST1011,Uber Green,Paris,Rome,5.1,19.7,0,,0,,0,,24.4,5.87,,2.3,UPI
2025-01-20,15:06:00,UBR100773,Completed,CUST1095,Uber Comfort,Seoul,Melbourne,3.2,12.1,0,,0,,0,,,28.16,1.1,4.4,PayPal
2025-01-19,16:19:00,UBR100634,Cancelled by Driver,CUST1183,UberX,Rome,Madrid,13.7,3.2,0,,1,Vehicle issue,0,,0.0,28.94,1.7,,Debit Card
2025-02-24,17:06:00,UBR100265,Completed,CUST1205,UberXL,Manchester,Rome,7.9,23.3,0,,0,,0,,60.7,32.54,1.4,3.1,Cash
2025-02-10,15:49:00,UBR100256,Completed,CUST1147,Uber Comfort,Madrid,Manchester,8.8,5.0,0,,0,,0,,57.82,,3.2,3.6,PayPal
2025-02-24,21:07:00,UBR100002,Completed,CUST1063,UberX,Melbourne,Sydney,1.8,16.4,0,,0,,0,,58.35,27.74,1.7,1.3,UPI
2025-05-31,12:25:00,UBR100519,Completed,CUST1162,Uber Comfort,Rome,Toronto,17.1,8.7,0,,0,,0,,15.38,3.65,2.3,2.6,Credit Card
2025-04-15,05:08:00,UBR100716,Completed,CUST1051,UberX,Melbourne,Sydney,12.2,22.4,0,,0,,0,,26.88,10.94,2.9,3.2,Credit Card
2025-03-22,17:35:00,UBR100299,Completed,CUST1136,Uber Comfort,Sydney,Berlin,1.3,14.5,0,,0,,0,,70.55,19.39,2.9,3.6,UPI
2025-06-14,03:34:00,UBR100822,Completed,CUST1070,Uber Comfort,Houston,Sydney,1.4,14.0,0,,0,,0,,12.72,4.01,2.1,3.6,Wallet
2025-02-06,05:32:00,UBR100439,Cancelled by Driver,CUST1146,Uber Green,Seoul,Sydney,4.3,5.8,0,,1,Too far from pickup,0,,0.0,14.78,2.2,,UPI
2025-04-08,08:27:00,UBR100981,Incomplete,CUST1131,UberXL,Chicago,Singapore,2.2,8.6,0,,0,,1,Trip interrupted,27.72,12.88,1.8,,Debit Card
2025-01-25,07:29:00,UBR100852,Completed,CUST1242,UberX,Melbourne,Singapore,9.7,,0,,0,,0,,38.0,12.85,1.7,1.3,Credit Card
2025-03-10,15:01:00,UBR100611,Completed,CUST1088,UberX,Dubai,Melbourne,9.4,6.5,0,,0,,0,,118.34,33.26,4.9,1.6,UPI
2025-05-12,22:27:00,UBR100792,Completed,CUST1089,Uber Comfort,Dubai,New York,5.4,18.7,0,,0,,0,,41.57,24.31,3.9,2.1,Wallet
2025-04-30,16:20:00,UBR100332,Completed,CUST1007,Uber Green,Birmingham,Toronto,2.5,7.3,0,,0,,0,,17.51,6.72,1.2,3.5,Wallet
2025-06-17,08:39:00,UBR100692,Completed,CUST1127,Uber Green,Singapore,Houston,2.5,7.0,0,,0,,0,,66.92,30.26,4.0,1.1,UPI
2025-01-04,21:04:00,UBR100972,Completed,CUST1029,Uber Green,Birmingham,Vancouver,7.5,21.4,0,,0,,0,,,17.41,4.8,4.2,Wallet
2025-02-01,03:08:00,UBR100289,Cancelled by Driver,CUST1145,,Singapore,Houston,12.5,11.2,0,,1,Customer unreachable,0,,0.0,25.37,4.8,,Wallet
2025-03-21,01:06:00,UBR100786,Completed,CUST1236,UberXL,Paris,Manchester,6.8,4.6,0,,0,,0,,71.79,19.28,3.3,3.9,Cash
2025-06-30,17:33:00,UBR100199,Completed,CUST1187,Uber Comfort,London,Rome,14.6,21.1,0,,0,,0,,55.09,23.95,4.4,4.7,Debit Card
2025-01-26,14:35:00,UBR100292,Completed,CUST1167,Uber Black,Toronto,Vancouver,1.9,3.7,0,,0,,0,,91.49,29.38,2.7,1.3,UPI
2025-02-07,20:04:00,UBR100536,Completed,CUST1092,UberX,Melbourne,Singapore,13.7,7.6,0,,0,,0,,33.33,18.87,1.8,1.8,
2025-01-29,14:01:00,UBR100960,Completed,CUST1031,UberX,Toronto,Manchester,7.8,24.7,0,,0,,0,,10.27,1.8,1.4,2.7,PayPal
2025-04-22,07:42:00,UBR100323,Completed,CUST1238,Uber Comfort,Chicago,Phoenix,10.5,3.6,0,,0,,0,,76.45,24.04,4.6,,Credit Card
2025-03-20,04:15:00,UBR100879,Completed,CUST1097,Uber Green,Seoul,Dubai,8.9,16.2,0,,0,,0,,21.04,5.86,,1.9,PayPal
2025-01-23,03:59:00,UBR100894,Completed,CUST1072,Uber Black,Paris,Manchester,13.4,4.6,0,,0,,0,,33.61,9.49,1.9,4.0,UPI
2025-01-05,11:29:00,UBR100939,Completed,CUST1023,UberXL,Phoenix,Paris,4.9,11.6,0,,0,,0,,38.76,10.16,3.4,,PayPal
2025-01-18,22:23:00,UBR100106,Completed,CUST1081,Uber Black,Los Angeles,Paris,12.8,21.9,0,,0,,0,,29.33,16.59,4.1,1.2,
2025-01-24,21:33:00,UBR100558,Cancelled by Customer,CUST1035,Uber Green,Houston,Toronto,1.7,21.3,1,Change of plans,0,,0,,0.0,27.99,,,Wallet
2025-04-19,19:29:00,UBR100055,Completed,CUST1110,Uber Comfort,Rome,Singapore,10.1,15.9,0,,0,,0,,43.89,17.22,4.0,2.7,Debit Card
